pathway	pathID	overlap_size	pathway_size	p-value(raw)	p-value	overlap_features(name)	overlap_features(id)	overlap_input(mzs)	total_metabolites(id)	total_metabolites(name)	overlap_input(featureidx)	input_adduct	MSMS_matching
		0	0	1.0	0.9996647422193263								
D-glucuronate degradation	PWY-5525	0	0	1.0	0.9996647422193263								
heme degradation	PWY-5874	1	1	0.1481481481481481	0.9996647422193263	bilirubin	BILIRUBIN	585.271416965	BILIRUBIN	bilirubin	23	M+H[1+]	
thymine degradation	PWY-6430	0	0	1.0	0.9996647422193263								
methionine degradation	METHIONINE-DEG1-PWY	0	0	1.0	0.9996647422193263								
fatty acid &alpha;-oxidation	PWY66-387	0	0	1.0	0.9996647422193263								
<i>trans, trans</i>-farnesyl diphosphate biosynthesis	PWY-5123	0	0	1.0	0.9996647422193263								
fatty acid &beta;-oxidation (unsaturated, odd number)	PWY-5137	0	0	1.0	0.9996647422193263								
fatty acid &beta;-oxidation (peroxisome)	PWY66-391	0	0	1.0	0.9996647422193263								
fatty acid &beta;-oxidation	FAO-PWY	0	0	1.0	0.9996647422193263								
oxidized GTP and dGTP detoxification	PWY-6502	0	0	1.0	0.9996647422193263								
fatty acid &alpha;-oxidation III	PWY66-388	0	0	1.0	0.9996647422193263								
serotonin degradation	PWY-6313	0	0	1.0	0.9996647422193263								
glutathione-mediated detoxification	PWY-4061	0	0	1.0	0.9996647422193263								
noradrenaline and adrenaline degradation	PWY-6342	0	0	1.0	0.9996647422193263								
pyrimidine deoxyribonucleosides degradation	PWY-7181	0	0	1.0	0.9996647422193263								
thyronamine and iodothyronamine metabolism	PWY-6688	0	0	1.0	0.9996647422193263								
4-hydroxy-2-nonenal detoxification	PWY-7112	0	0	1.0	0.9996647422193263								
CMP phosphorylation	PWY-7205	0	0	1.0	0.9996647422193263								
NAD phosphorylation and dephosphorylation	NADPHOS-DEPHOS-PWY-1	0	0	1.0	0.9996647422193263								
pyrimidine ribonucleosides salvage I	PWY-7193	0	0	1.0	0.9996647422193263								
GDP-glucose biosynthesis II	PWY-5661-1	0	0	1.0	0.9996647422193263								
&alpha;-tocopherol degradation	PWY-6377	0	0	1.0	0.9996647422193263								
bupropion degradation	PWY66-241	0	0	1.0	0.9996647422193263								
pyrimidine deoxyribonucleosides salvage	PWY-7199	0	0	1.0	0.9996647422193263								
arsenate detoxification I (glutaredoxin)	PWY-4202	0	0	1.0	0.9996647422193263								
NAD salvage	NAD-BIOSYNTHESIS-III	0	0	1.0	0.9996647422193263								
NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	PWY-5653	0	0	1.0	0.9996647422193263								
pyrimidine ribonucleosides degradation	PWY0-1295	0	0	1.0	0.9996647422193263								
<i>myo</i>-inositol <i>de novo</i> biosynthesis	PWY-2301	0	1	1.0	0.9996647422193263				MYO-INOSITOL	<I>myo</I>-inositol			
lactate fermentation (reoxidation of cytosolic NADH)	PWY-5481	0	0	1.0	0.9996647422193263								
UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis I	PWY-5512	0	0	1.0	0.9996647422193263								
UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis II	PWY-5514	0	1	1.0	0.9996647422193263				GLC	&beta-D-glucose			
mevalonate pathway	PWY-922	0	0	1.0	0.9996647422193263								
gluconeogenesis	PWY66-399	0	0	1.0	0.9996647422193263								
