"featureidx"	"MSMS"	"fold"	"log2fold"	"tstat"	"pvalue"	"qvalue"	"pdown"	"mzmed"	"mzmin"	"mzmax"	"rtmed"	"rtmin"	"rtmax"	"maxint"	"dataset1_mean"	"dataset1_sd"	"dataset2_mean"	"dataset2_sd"	"isotopes"	"adducts"	"peakgroup"	"METLIN"	"name"	"METLIN_MSMS"
1	""	1.19692111133399	0.259328067872215	2.22300034679613	0.0351278025699484	1	"UP"	815.674328557329	815.669281852081	815.681709598838	6.18799997666667	6.16676669666667	6.20240021	297.549560546875	816.264221942274	188.442244004316	977.003879669324	194.130933251425	""	"[M+Na+NH3]+ 775.668"	50	"2::stigmast-5-en-3beta-ol 3-0-(6'-O-hexadexcanoyl-beta-D-glucopyranoside)::M+H:: 84134::NA::|2::Sitoindoside I::M+H:: 87222::NA::|2::18:0-Glc-Cholesterol::M+H::103340::NA::|2::16:0-Glc-Sitosterol::M+H::103427::NA::|3::GlcCer(d16:2(4E,6E)/24:0(2OH))::M+NH4::103321::NA::"	"M816T6_1"	"y"
2	""	1.19382439487181	0.255590639551211	2.09422636617028	0.0462136582196875	1	"UP"	807.576009765947	807.571513877242	807.579744281987	5.31356656833333	5.30596664333333	5.34003324333333	4588.1484375	7407.92594526312	1892.47796518014	8843.76270885892	1731.91008841116	"[31][M+1]+"	""	10	""	"M808T5"	"n"
3	""	1.13112040313285	0.177752506478257	1.89031199891155	0.0700154651960634	1	"UP"	761.590531574952	761.586283815531	761.596939772676	5.71745005	5.70081643	5.73940022333333	4661.68359375	7756.56344924885	1490.01412618484	8773.60717563985	1353.70571206474	"[18][M+1]+"	""	4	""	"M762T6"	"n"
4	""	1.13344562577586	-0.180715183045971	-1.78393854394295	0.0866596831852222	1	"DOWN"	189.068918694158	189.068109901645	189.069967528344	2.363466665	2.35813325333333	2.3800667	4014.240234375	7235.46957597726	1118.11348640845	6383.60536353428	1393.61445165165	""	""	18	"2::Carbimazole::M+H::  1519::NA::|2::4-Toluenesulfonamide::M+NH4:: 70041::NA::|2::2-(4-Methyl-5-thiazolyl)ethyl formate::M+NH4:: 88444::NA::|2::o-Toluenesulfamide::M+NH4::  3056::NA::|9::Fluorene::M+Na:: 66720::NA::|9::1-Phenyl-5-heptene-1,3-diyne::M+Na:: 66991::NA::|9::1,3,11-Tridecatriene-5,7,9-triyne::M+Na:: 89829::NA::|9::(3E,5Z)-1,3,5-Tridecatriene-7,9,11-triyne::M+Na:: 93705::NA::|9::2-CARENE-3-ONE::M+K::985564::NA::|9::Thymol::M+K::  4245::NA::|9::Carvone::M+K:: 34489::NA::|9::(-)-Carvone::M+K:: 41072::NA::|9::(-)-Isopiperitenone::M+K:: 41076::NA::|9::Perillyl aldehyde::M+K:: 41077::NA::|9::Carvacrol::M+K:: 41096::NA::|9::Menthofuran::M+K:: 41104::NA::|9::Pinocarvone::M+K:: 41110::NA::|9::Myrtenal::M+K:: 41136::NA::|9::4-Isopropylbenzyl alcohol::M+K:: 44725::NA::|9::1-(4-(prop-1-en-2-yl)cyclopent-1-enyl)ethanone::M+K:: 53307::NA::|9::piperitenone::M+K:: 53316::NA::|9::(+)-sabinone::M+K:: 53350::NA::|9::Chrysanthenone::M+K:: 67961::NA::|9::Umbellulone::M+K:: 68003::NA::|9::Verbenone::M+K:: 68005::NA::|9::(+)-Chrysanthenone::M+K:: 69027::NA::|9::2-tert-Butylphenol::M+K:: 69822::NA::|9::2-sec-Butylphenol::M+K:: 69829::NA::|9::4-sec-Butylphenol::M+K:: 69830::NA::|9::3-tert-Butylphenol::M+K:: 69861::NA::"	"M189T2"	"y"
5	""	1.13648277105096	0.184575813229453	1.71002539429342	0.0999020766499403	1	"UP"	806.571504588419	806.567285757396	806.573742758386	5.31360843833333	5.30958345333333	5.32045006	8484.6875	16425.3983542103	3874.95723728831	18667.1822372087	3007.57795136491	"[31][M]+"	"[M+H]+ 805.565"	10	"3::PC(16:0/22:6(3Z,6Z,9Z,12Z,15Z,18))[U]::M+H::39390::NA::|3::PC(16:0/22:6(4E,7E,10E,13E,16E,19E))::M+H::39391::NA::|3::PC(16:0/22:6(4E,7E,10E,13E,16E,19E))[U]::M+H::39392::NA::|3::PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[S]::M+H::39394::NA::|3::PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[U]::M+H::39395::NA::|3::PC(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))[U]::M+H::39649::NA::|3::PC(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))[U]::M+H::39685::NA::|3::PC(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z))[U]::M+H::39792::NA::|3::PC(22:6(4E,7E,10E,13E,16E,19E)/16:0)::M+H::39856::NA::|3::PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0)[U]::M+H::39858::NA::|3::PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))::M+H::59439::NA::|3::PC(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))::M+H::59470::NA::|3::PC(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))::M+H::59472::NA::|3::PC(18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))::M+H::59530::NA::|3::PC(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))::M+H::59562::NA::|3::PC(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))::M+H::59593::NA::|3::PC(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z))::M+H::59594::NA::|3::PC(18:3(6Z,9Z,12Z)/20:3(5Z,8Z,11Z))::M+H::59624::NA::|3::PC(18:3(6Z,9Z,12Z)/20:3(8Z,11Z,14Z))::M+H::59625::NA::|3::PC(18:3(9Z,12Z,15Z)/20:3(5Z,8Z,11Z))::M+H::59657::NA::|3::PC(18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z))::M+H::59658::NA::|3::PC(18:4(6Z,9Z,12Z,15Z)/20:2(11Z,14Z))::M+H::59689::NA::|3::PC(20:2(11Z,14Z)/18:4(6Z,9Z,12Z,15Z))::M+H::59785::NA::|3::PC(20:3(5Z,8Z,11Z)/18:3(6Z,9Z,12Z))::M+H::59816::NA::|3::PC(20:3(5Z,8Z,11Z)/18:3(9Z,12Z,15Z))::M+H::59817::NA::|3::PC(20:3(8Z,11Z,14Z)/18:3(6Z,9Z,12Z))::M+H::59849::NA::|3::PC(20:3(8Z,11Z,14Z)/18:3(9Z,12Z,15Z))::M+H::59850::NA::|3::PC(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z))::M+H::59880::NA::|3::PC(20:4(8Z,11Z,14Z,17Z)/18:2(9Z,12Z))::M+H::59913::NA::|3::PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(11Z))::M+H::59944::NA::"	"M807T5"	"y"
6	""	1.06187226590021	0.0866102327752025	1.73779321676664	0.100057929385934	1	"UP"	90.9769938854857	90.9766430963156	90.9773747123799	0.443566674333333	0.387749988333333	0.521550014333333	636.2548828125	1042.08352899467	128.430917720491	1106.55959819085	52.7028952560774	""	""	31	""	"M91T0"	"n"
7	""	1.13715924116007	0.18543429499156	1.64558095492963	0.112715772938299	1	"UP"	525.376622702122	525.374927790412	525.379071779117	4.81806668833333	4.81445006	4.82550007333333	3169.017578125	3512.22412032649	870.444996686644	3993.95811545456	664.915348526438	"[3][M+1]+"	""	6	""	"M525T5"	"n"
8	""	1.06720782833246	-0.0938411543328497	-1.64074369269405	0.113862143610516	1	"DOWN"	584.474677532647	584.473120475399	584.476233172487	4.85076685333333	4.84694985	4.85824995	533.7080078125	755.302213158543	86.9195314872835	707.736762331213	64.8923762789469	""	""	43	""	"M584T5"	"n"
9	""	1.18972486477806	0.250627975117778	1.63215406555133	0.115465457197273	1	"UP"	774.603996275899	774.601554993783	774.606752087035	5.93375023333333	5.91996656666667	5.94379997	294.113525390625	925.644603679436	246.140743191043	1101.26240094506	318.590205946802	""	""	52	"4::PE(20:0/18:1(9Z))::M+H::40533::NA::|4::PE(16:0/22:1(13Z))::M+H::40534::NA::|4::PE(20:0/18:1(13Z))::M+H::40535::NA::|4::PE(20:0/18:1(11Z))::M+H::40536::NA::|4::PE(20:0/18:1(7Z))::M+H::40537::NA::|4::PE(18:0/20:1(11Z))::M+H::40539::NA::|4::PE(18:0/20:1(11Z))[U]::M+H::40540::NA::|4::PE(18:1(9Z)/20:0)::M+H::40541::NA::|4::PE(18:1(9Z)/20:0)[U]::M+H::40542::NA::|4::PC(17:0/18:1(9Z))::M+H::39452::NA::|4::PC(17:1(9Z)/18:0)[U]::M+H::39470::NA::|4::PC(15:0/20:1(11Z))::M+H::59395::NA::|4::PC(20:1(11Z)/15:0)::M+H::59743::NA::|4::PE(14:0/24:1(15Z))::M+H::60293::NA::|4::PE(14:1(9Z)/24:0)::M+H::60325::NA::|4::PE(16:1(9Z)/22:0)::M+H::60402::NA::|4::PE(18:1(11Z)/20:0)::M+H::60449::NA::|4::PE(20:1(11Z)/18:0)::M+H::60651::NA::|4::PE(22:0/16:1(9Z))::M+H::60880::NA::|4::PE(22:1(13Z)/16:0)::M+H::60906::NA::|4::PE(24:0/14:1(9Z))::M+H::61101::NA::|4::PE(24:1(15Z)/14:0)::M+H::61130::NA::|4::PC(13:0/22:1(11Z))::M+H::75639::NA::|4::PC(14:1(9Z)/21:0)::M+H::75683::NA::|4::PC(15:1(9Z)/20:0)::M+H::75730::NA::|4::PC(16:0/19:1(9Z))::M+H::75747::NA::|4::PC(16:1(9Z)/19:0)::M+H::75766::NA::|4::PC(17:1(9Z)/18:0)::M+H::75811::NA::|4::PC(18:0/17:1(9Z))::M+H::75866::NA::|4::PC(18:1(9Z)/17:0)::M+H::75880::NA::"	"M775T6"	"y"
10	""	1.25592241604708	-0.328747345247643	-1.57355097757786	0.1280103678258	1	"DOWN"	815.697313027312	815.695448284109	815.700439709648	4.89038339166667	4.8435335	4.92618340666667	999.9345703125	2558.5323768773	946.253092645284	2037.17390834546	800.926109132663	"[36][M+2]+"	""	7	""	"M816T5"	"n"
